Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
2010000,0.5704389,15.243848,9.560905,0.07506326,9.949589e-05,0.13316527,0.0016649467,315.0833333333333,64.23107581647734,64.23107581647734,1.0
2020000,0.5399618,15.604423,9.444774,0.06935953,9.8486526e-05,0.1328288,0.0016481576,349.3333333333333,72.53215877187473,72.53215877187473,1.0
2030000,0.532631,16.069992,9.18576,0.060785577,9.747024e-05,0.13249005,0.001631254,329.4,69.39107551835477,69.39107551835477,1.0
2040000,0.5602856,16.262697,13.271863,0.06488468,9.6500335e-05,0.13216674,0.0016151208,291.65714285714284,59.5692227038954,59.5692227038954,1.0
2050000,0.55383116,16.51644,14.798578,0.065899506,9.545176e-05,0.13181724,0.0015976796,268.57142857142856,48.92699439248869,48.92699439248869,1.0
2060000,0.5360987,16.6722,12.1389475,0.073993415,9.451428e-05,0.13150474,0.0015820861,327.1290322580645,67.79360590899184,67.79360590899184,1.0
2070000,0.5207463,16.949394,10.597007,0.0728149,9.357692e-05,0.13119228,0.0015664948,322.21875,66.41171198734082,66.41171198734082,1.0
2080000,0.5310459,17.376137,10.306094,0.067425,9.2538285e-05,0.13084607,0.0015492185,337.48387096774195,73.2837986053238,73.2837986053238,1.0
2090000,0.5118688,17.925697,11.593607,0.06406605,9.1490205e-05,0.13049671,0.0015317856,331.7307692307692,71.6692801754062,71.6692801754062,1.0
2100000,0.51452833,18.225794,6.933235,0.069872074,9.044102e-05,0.13014698,0.0015143342,389.51851851851853,87.0432878513303,87.0432878513303,1.0
2110000,0.5204616,18.37051,13.346119,0.063790575,8.950021e-05,0.12983337,0.0014986853,316.58620689655174,66.63816543540051,66.63816543540051,1.0
2120000,0.52975863,18.565184,9.163249,0.07292915,8.856313e-05,0.129521,0.0014830984,361.0344827586207,74.20651069230267,74.20651069230267,1.0
2130000,0.52841735,18.685665,8.720645,0.06440139,8.7521985e-05,0.12917396,0.0014657809,342.741935483871,70.48100866633467,70.48100866633467,1.0
2140000,0.5293596,18.659504,12.604007,0.06349523,8.647122e-05,0.12882373,0.0014483032,324.3333333333333,68.27119304947556,68.27119304947556,1.0
2150000,0.52574825,18.935053,11.388084,0.058255687,8.552231e-05,0.1285074,0.0014325196,314.53333333333336,67.24554311558605,67.24554311558605,1.0
2160000,0.51569843,18.937975,12.992312,0.06507845,8.457978e-05,0.12819323,0.0014168422,314.3636363636364,64.00044806628968,64.00044806628968,1.0
2170000,0.5199948,19.108536,13.619733,0.0700127,8.353843e-05,0.12784609,0.001399521,325.625,69.54393062437885,69.54393062437885,1.0
2180000,0.5128409,19.288355,11.4999275,0.075081915,8.2495804e-05,0.12749857,0.0013821789,352.7037037037037,82.67249135852411,82.67249135852411,1.0
2190000,0.51692927,19.600655,9.439594,0.067010164,8.145551e-05,0.12715182,0.001364875,364.6,82.02725171297789,82.02725171297789,1.0
2200000,0.52392215,19.676882,13.471202,0.07122634,8.041664e-05,0.12680551,0.0013475954,324.7142857142857,67.82494886350982,67.82494886350982,1.0
2210000,0.5219347,19.77821,15.071992,0.06978259,7.9481186e-05,0.12649369,0.0013320355,298.3939393939394,65.64252191015026,65.64252191015026,1.0
2220000,0.5224502,19.505373,13.679975,0.06686545,7.854096e-05,0.12618029,0.0013163965,333.18518518518516,65.72117788082471,65.72117788082471,1.0
2230000,0.5146862,19.703072,11.477697,0.069216564,7.749936e-05,0.12583308,0.0012990714,336.46875,69.2510708764894,69.2510708764894,1.0
2240000,0.5232586,19.64074,14.481649,0.065984495,7.6458804e-05,0.12548624,0.0012817633,322.96774193548384,68.2075733334547,68.2075733334547,1.0
2250000,0.5116203,19.811445,9.124091,0.06309474,7.551486e-05,0.1251716,0.0012660624,360.32142857142856,79.08008106425405,79.08008106425405,1.0
2260000,0.52407,19.929548,8.869169,0.06773255,7.457309e-05,0.12485768,0.0012503975,345.41379310344826,76.27316502777153,76.27316502777153,1.0
2270000,0.5192418,19.960058,10.822858,0.06844698,7.352663e-05,0.12450886,0.0012329915,312.83870967741933,67.07155857607722,67.07155857607722,1.0
2280000,0.5314003,19.967701,14.055046,0.06692926,7.248022e-05,0.12416005,0.0012155862,301.53125,66.72944648563862,66.72944648563862,1.0
2290000,0.54152244,20.10281,13.873764,0.067122266,7.1442664e-05,0.1238142,0.0011983282,316.9428571428571,65.63494939165456,65.63494939165456,1.0
2300000,0.5319064,20.292402,13.308069,0.062567145,7.050919e-05,0.12350304,0.0011828013,306.37931034482756,60.65186832978257,60.65186832978257,1.0
2310000,0.5433949,20.28802,11.48142,0.06704432,6.9565045e-05,0.12318833,0.0011670971,333.03225806451616,75.64106757825974,75.64106757825974,1.0
2320000,0.53854686,20.275965,13.347552,0.0631137,6.85143e-05,0.122838065,0.0011496197,335.2142857142857,69.05358153714666,69.05358153714666,1.0
2330000,0.51548636,20.514986,10.623718,0.064248405,6.745904e-05,0.12248633,0.0011320672,338.0689655172414,68.96242087680314,68.96242087680314,1.0
2340000,0.53776014,20.507723,12.029122,0.064822406,6.650681e-05,0.12216891,0.0011162285,334.6666666666667,74.54405672595867,74.54405672595867,1.0
2350000,0.5206336,20.500845,8.759638,0.063766725,6.5560045e-05,0.12185333,0.0011004807,343.7741935483871,70.26833061946016,70.26833061946016,1.0
2360000,0.5344809,20.487137,11.252287,0.060503196,6.4513006e-05,0.12150431,0.0010830648,329.4642857142857,70.85361825714686,70.85361825714686,1.0
2370000,0.5271266,20.542387,12.227073,0.06927643,6.346157e-05,0.12115383,0.0010655759,343.4193548387097,73.28533146999055,73.28533146999055,1.0
2380000,0.5237253,20.671486,12.690876,0.06946408,6.24238e-05,0.12080791,0.0010483146,314.82142857142856,67.46014177385304,67.46014177385304,1.0
2390000,0.5172278,20.74514,10.528517,0.06876719,6.148689e-05,0.1204956,0.0010327302,358.43333333333334,77.0186857313158,77.0186857313158,1.0
2400000,0.52118903,20.865334,6.2018113,0.06546053,6.0540006e-05,0.12017997,0.0010169805,381.84,81.70391194060444,81.70391194060444,1.0
2410000,0.5296755,20.995825,13.682622,0.06646784,5.949047e-05,0.11983012,0.0009995232,329.03125,70.64460155647248,70.64460155647248,1.0
2420000,0.5346086,20.94322,7.3112807,0.07350831,5.844594e-05,0.11948196,0.0009821494,369.875,81.65718027406062,81.65718027406062,1.0
2430000,0.53351,21.00799,8.097688,0.07183334,5.749275e-05,0.11916423,0.0009662947,353.56666666666666,74.8978090684861,74.8978090684861,1.0
2440000,0.5279544,21.00115,14.091105,0.0692044,5.6552602e-05,0.11885084,0.00095065695,301.77142857142854,61.41559401899576,61.41559401899576,1.0
2450000,0.51556206,21.03043,8.6802845,0.065653205,5.549902e-05,0.11849965,0.0009331323,357.0740740740741,79.45765838951424,79.45765838951424,1.0
2460000,0.5310742,20.862875,9.798045,0.06463029,5.445895e-05,0.11815295,0.00091583235,334.93333333333334,72.00704436017007,72.00704436017007,1.0
2470000,0.50973594,21.036385,9.982089,0.067471564,5.352469e-05,0.117841534,0.0009002926,348.2307692307692,76.66517677572038,76.66517677572038,1.0
2480000,0.52773476,21.113981,15.495186,0.06850721,5.2576528e-05,0.11752548,0.00088452146,318.3333333333333,74.8139359826843,74.8139359826843,1.0
2490000,0.5031522,21.214144,9.737459,0.06686385,5.1532646e-05,0.11717752,0.0008671582,346.67857142857144,77.13206412975809,77.13206412975809,1.0
2500000,0.51738316,21.1726,10.180285,0.068051055,5.0482726e-05,0.11682755,0.0008496946,354.35714285714283,81.27356353242483,81.27356353242483,1.0
2510000,0.50735736,21.206253,7.158432,0.07182594,4.9443643e-05,0.116481185,0.00083241117,361.88461538461536,76.9017228775013,76.9017228775013,1.0
2520000,0.5166205,21.44504,10.406546,0.0672023,4.850704e-05,0.116169,0.0008168323,366.5357142857143,84.88556271458843,84.88556271458843,1.0
2530000,0.51251656,21.498379,8.78904,0.06667759,4.7569505e-05,0.11585648,0.00080123794,348.77777777777777,77.14493613055458,77.14493613055458,1.0
2540000,0.51100713,21.528767,10.982972,0.07135832,4.6524026e-05,0.11550798,0.0007838483,339.06451612903226,73.13476708471295,73.13476708471295,1.0
2550000,0.51564455,21.19958,14.272967,0.06274209,4.5474804e-05,0.11515824,0.0007663961,310.88235294117646,68.17538721949765,68.17538721949765,1.0
2560000,0.52221775,21.160725,12.576693,0.06802072,4.4440105e-05,0.11481334,0.0007491856,332.7241379310345,66.17476851775729,66.17476851775729,1.0
2570000,0.5258482,21.067818,12.86501,0.07400852,4.350181e-05,0.114500575,0.0007335786,313.8333333333333,67.33604117639122,67.33604117639122,1.0
2580000,0.5281745,21.052116,12.921077,0.06853159,4.2563188e-05,0.1141877,0.00071796624,345.48387096774195,75.40904080507255,75.40904080507255,1.0
2590000,0.53172165,20.863926,9.323242,0.06945743,4.1510313e-05,0.11383674,0.0007004534,354.0,72.13217752012942,72.13217752012942,1.0
2600000,0.527941,21.052832,10.981294,0.07185265,4.0466537e-05,0.113488816,0.0006830918,353.7857142857143,82.75690191026244,82.75690191026244,1.0
2610000,0.5458908,21.030205,10.387899,0.06808473,3.9522216e-05,0.11317404,0.0006673847,339.67857142857144,77.00658164559198,77.00658164559198,1.0
2620000,0.5474066,20.853888,12.942001,0.068981774,3.8573184e-05,0.1128577,0.0006515992,326.97058823529414,67.63708106494126,67.63708106494126,1.0
2630000,0.5556621,20.82502,7.9226813,0.06936564,3.751883e-05,0.11250625,0.0006340617,364.5833333333333,77.23299203890686,77.23299203890686,1.0
2640000,0.54112005,20.87644,10.340945,0.06425646,3.647923e-05,0.112159714,0.00061676966,340.73333333333335,74.34702519960702,74.34702519960702,1.0
2650000,0.55990523,20.736328,15.467458,0.06329129,3.543871e-05,0.11181287,0.00059946236,290.6363636363636,58.511228405404836,58.511228405404836,1.0
2660000,0.5624548,20.785656,9.206957,0.0712327,3.4499437e-05,0.11149979,0.0005838392,363.2903225806452,80.1069296709029,80.1069296709029,1.0
2670000,0.5649771,20.796894,9.288801,0.06931308,3.3561773e-05,0.111187235,0.0005682427,346.0344827586207,72.47830302358187,72.47830302358187,1.0
2680000,0.5553521,20.91726,5.891117,0.06395575,3.25208e-05,0.11084024,0.0005509277,378.8695652173913,84.02977426933205,84.02977426933205,1.0
2690000,0.552751,20.860922,14.9345,0.06757965,3.1466992e-05,0.11048897,0.00053339946,314.1290322580645,62.753571010776795,62.753571010776795,1.0
2700000,0.5550149,20.677986,13.374224,0.06624091,3.0424253e-05,0.11014138,0.0005160552,328.2258064516129,70.01699261319253,70.01699261319253,1.0
2710000,0.57187,20.71936,15.588248,0.070560224,2.9486497e-05,0.1098288,0.0005004571,316.17241379310343,67.84613084060878,67.84613084060878,1.0
2720000,0.5602271,20.959208,9.29512,0.07195186,2.8541075e-05,0.10951366,0.00048473166,348.8666666666667,77.80965851098298,77.80965851098298,1.0
2730000,0.5704207,20.95227,9.106347,0.06863042,2.7498114e-05,0.10916601,0.0004673837,365.81481481481484,80.3299524382903,80.3299524382903,1.0
2740000,0.5680937,20.930536,10.324709,0.07354152,2.6458534e-05,0.108819485,0.000450092,369.1034482758621,82.39589153329531,82.39589153329531,1.0
2750000,0.5512192,21.09801,10.743677,0.072341666,2.5415851e-05,0.10847193,0.00043274873,333.25,72.61142102083457,72.61142102083457,1.0
2760000,0.5495417,21.220854,11.62967,0.067357294,2.4478564e-05,0.1081595,0.00041715853,338.0,76.13733188795948,76.13733188795948,1.0
2770000,0.541235,21.310663,9.568071,0.07115655,2.3533954e-05,0.10784461,0.0004014465,348.375,80.50263823848218,80.50263823848218,1.0
2780000,0.558662,21.37885,8.422113,0.062440883,2.2491193e-05,0.10749704,0.00038410194,361.0,78.06497646810021,78.06497646810021,1.0
2790000,0.56878644,21.362364,10.062296,0.06530677,2.1444077e-05,0.10714799,0.0003666849,347.0357142857143,73.1490464998143,73.1490464998143,1.0
2800000,0.565569,21.395464,9.158026,0.06712759,2.0503296e-05,0.1068344,0.00035103652,365.3333333333333,85.01130620831692,85.01130620831692,1.0
2810000,0.55062914,21.504387,11.032426,0.06314003,1.95698e-05,0.10652324,0.00033550936,356.25,77.34027907012829,77.34027907012829,1.0
2820000,0.5501022,21.630255,11.207083,0.07289828,1.8523757e-05,0.106174566,0.0003181102,331.6666666666667,73.56343142699563,73.56343142699563,1.0
2830000,0.5654907,21.33039,13.72823,0.066647574,1.7472556e-05,0.10582415,0.00030062525,327.43333333333334,65.84690975820025,65.84690975820025,1.0
2840000,0.54732174,21.321371,11.488837,0.06767446,1.6422619e-05,0.105474174,0.00028316127,327.35714285714283,75.1153619506017,75.1153619506017,1.0
2850000,0.5683767,21.137112,16.013477,0.07153085,1.5482246e-05,0.10516072,0.00026751973,311.94117647058823,63.38183611567531,63.38183611567531,1.0
2860000,0.5662565,20.929901,13.738556,0.06742701,1.4546114e-05,0.10484867,0.00025194872,355.89285714285717,75.32324298138597,75.32324298138597,1.0
2870000,0.56499684,20.74843,10.708921,0.06843425,1.3492198e-05,0.10449736,0.00023441862,312.51724137931035,62.596648674586724,62.596648674586724,1.0
2880000,0.5689182,20.57112,10.297961,0.064611726,1.244122e-05,0.10414704,0.00021693735,364.42857142857144,75.19476044217923,75.19476044217923,1.0
2890000,0.55965525,20.67535,7.849223,0.06873681,1.15032735e-05,0.10383439,0.00020133617,368.2258064516129,80.85245994214088,80.85245994214088,1.0
2900000,0.5514365,20.63126,10.734762,0.072328724,1.0556121e-05,0.10351868,0.00018558184,337.77777777777777,71.04310462209914,71.04310462209914,1.0
2910000,0.5640419,20.735125,9.451407,0.06561384,9.510679e-06,0.103170194,0.00016819264,361.7916666666667,81.40686716123794,81.40686716123794,1.0
2920000,0.5579961,20.838701,8.36332,0.07076426,8.4737185e-06,0.10282455,0.00015094454,358.2,79.80334122665226,79.80334122665226,1.0
2930000,0.5609806,20.961082,9.445895,0.066496246,7.42388e-06,0.10247459,0.00013348224,361.6,79.1114415106674,79.1114415106674,1.0
2940000,0.5535568,20.987476,14.730035,0.0738603,6.484576e-06,0.1021615,0.00011785847,309.5,69.02499298242232,69.02499298242232,1.0
2950000,0.5552472,20.764765,9.046827,0.07244432,5.551599e-06,0.10185051,0.00010233995,370.77777777777777,74.7754931277423,74.7754931277423,1.0
2960000,0.5616004,20.637016,10.887598,0.06629501,4.494058e-06,0.101497985,8.4749525e-05,325.96666666666664,68.55034297543267,68.55034297543267,1.0
2970000,0.5529921,20.656513,13.716525,0.06888696,3.44284e-06,0.10114758,6.726425e-05,339.0967741935484,76.89289601459619,76.89289601459619,1.0
2980000,0.5657113,20.537872,11.101996,0.06797407,2.507026e-06,0.10083564,5.169855e-05,353.32142857142856,74.04367141931185,74.04367141931185,1.0
2990000,0.55289125,20.425177,14.304487,0.06364512,1.5746136e-06,0.10052484,3.6189413e-05,309.64516129032256,67.51487940561867,67.51487940561867,1.0
3000000,0.5524051,20.484158,6.9890375,0.06956969,5.240819e-07,0.100174665,1.8715567e-05,393.12,88.67593123048545,88.67593123048545,1.0
